13.5, 2.5, 2.2, 20.0, 100, 2.8, 3.0, 0.4, 2.2, 7.0, 1.0, 3.0, 1000

12.0, 4.0, 2.8, 25.0, 80, 2.0, 2.5, 0.3, 1.5, 4.5, 0.9, 2.5, 800

11.0, 1.0, 2.0, 15.0, 70, 1.5, 2.0, 0.2, 1.0, 3.0, 0.8, 2.0, 500

14.0, 2.0, 2.5, 22.0, 110, 3.0, 3.5, 0.5, 2.0, 6.0, 1.2, 3.5, 1200

11.0, 1.0, 2.0, 15.0, 70, 1.5, 2.0, 0.2, 1.0, 3.0, 0.8, 2.0, 500

12.0, 1.5, 2.5, 17.0, 75, 1.8, 2.2, 0.25, 1.2, 3.5, 0.7, 2.2, 550

10.5, 0.8, 1.5, 12.0, 65, 1.2, 1.8, 0.15, 0.8, 2.5, 0.6, 1.8, 400

12.0, 4.5, 2.8, 30.0, 85, 2.2, 2.8, 0.35, 1.7, 4.2, 0.85, 2.8, 850

12.8, 4.0, 3.0, 28.0, 90, 2.0, 2.5, 0.3, 1.5, 4.0, 0.8, 2.5, 800

11.5, 5.0, 2.5, 35.0, 75, 2.5, 3.0, 0.4, 1.9, 4.8, 0.9, 3.0, 900

13.5, 2.5, 2.2, 20.0, 100, 2.8, 3.0, 0.4, 2.2, 7.0, 1.0, 3.0, 1000

14.0, 2.0, 2.5, 22.0, 110, 3.0, 3.5, 0.5, 2.0, 6.0, 1.2, 3.5, 1200

13.2, 3.0, 2.0, 18.0, 95, 2.5, 3.0, 0.4, 1.8, 5.5, 1.1, 3.0, 900
